epoch_id,condition,layer,category,waiting_order_count,E_AV,U_AV,M_AV,O_HA,E_HV
0830,D3,PHYSICAL_DIRECTION_HARD,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D3,CAPABILITY_HARD,ORIGINAL_REVERSE,37,3442,23,23,23,1865
0830,D3,CAPABILITY_HARD,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D3,CAPABILITY_HARD,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D3,STRUCTURAL_ROUTE,ORIGINAL_REVERSE,37,968,8,8,8,1865
0830,D3,STRUCTURAL_ROUTE,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D3,STRUCTURAL_ROUTE,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D3,PRE_TOPK_EVIDENCE,ORIGINAL_REVERSE,37,968,8,8,8,1865
0830,D3,PRE_TOPK_EVIDENCE,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D3,PRE_TOPK_EVIDENCE,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D3,TOPK,ORIGINAL_REVERSE,37,113,8,8,8,560
0830,D3,TOPK,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D3,TOPK,FALLBACK_EVIDENCE,10,113,8,8,8,87
0830,D3,VALID_ETA,ORIGINAL_REVERSE,37,113,8,8,8,560
0830,D3,VALID_ETA,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D3,VALID_ETA,FALLBACK_EVIDENCE,10,113,8,8,8,87
0830,D3,PATIENCE,ORIGINAL_REVERSE,37,5,3,3,0,2
0830,D3,PATIENCE,M_CAPABILITY_HARD,1,0,0,0,0,0
0830,D3,PATIENCE,FALLBACK_EVIDENCE,10,5,3,3,0,1
0830,D3,SESSION,ORIGINAL_REVERSE,37,5,3,3,0,1
0830,D3,SESSION,M_CAPABILITY_HARD,1,0,0,0,0,0
0830,D3,SESSION,FALLBACK_EVIDENCE,10,5,3,3,0,0
0830,D4,SPATIAL,ORIGINAL_REVERSE,37,4772,37,37,37,1865
0830,D4,SPATIAL,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D4,SPATIAL,FALLBACK_EVIDENCE,10,1436,10,10,10,549
0830,D4,PASSENGER,ORIGINAL_REVERSE,37,3442,23,23,23,1865
0830,D4,PASSENGER,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D4,PASSENGER,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D4,PHYSICAL_DIRECTION_HARD,ORIGINAL_REVERSE,37,3442,23,23,23,1865
0830,D4,PHYSICAL_DIRECTION_HARD,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D4,PHYSICAL_DIRECTION_HARD,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D4,CAPABILITY_HARD,ORIGINAL_REVERSE,37,3442,23,23,23,1865
0830,D4,CAPABILITY_HARD,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D4,CAPABILITY_HARD,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D4,STRUCTURAL_ROUTE,ORIGINAL_REVERSE,37,3442,23,23,23,1865
0830,D4,STRUCTURAL_ROUTE,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D4,STRUCTURAL_ROUTE,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D4,PRE_TOPK_EVIDENCE,ORIGINAL_REVERSE,37,3442,23,23,23,1865
0830,D4,PRE_TOPK_EVIDENCE,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D4,PRE_TOPK_EVIDENCE,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D4,TOPK,ORIGINAL_REVERSE,37,331,23,23,23,352
0830,D4,TOPK,M_CAPABILITY_HARD,1,15,1,1,1,5
0830,D4,TOPK,FALLBACK_EVIDENCE,10,113,8,8,8,87
0830,D4,VALID_ETA,ORIGINAL_REVERSE,37,331,23,23,23,352
0830,D4,VALID_ETA,M_CAPABILITY_HARD,1,15,1,1,1,5
0830,D4,VALID_ETA,FALLBACK_EVIDENCE,10,113,8,8,8,87
0830,D4,PATIENCE,ORIGINAL_REVERSE,37,17,7,7,1,2
0830,D4,PATIENCE,M_CAPABILITY_HARD,1,1,1,1,0,0
0830,D4,PATIENCE,FALLBACK_EVIDENCE,10,5,3,3,0,1
0830,D4,SESSION,ORIGINAL_REVERSE,37,17,7,7,1,1
0830,D4,SESSION,M_CAPABILITY_HARD,1,1,1,1,0,0
0830,D4,SESSION,FALLBACK_EVIDENCE,10,5,3,3,0,0
1200,D0,SPATIAL,ORIGINAL_REVERSE,42,5205,42,42,42,2196
1200,D0,SPATIAL,M_CAPABILITY_HARD,7,789,7,7,7,335
1200,D0,SPATIAL,FALLBACK_EVIDENCE,20,2435,20,20,20,998
1200,D0,PASSENGER,ORIGINAL_REVERSE,42,3235,26,26,26,2196
1200,D0,PASSENGER,M_CAPABILITY_HARD,7,219,3,3,3,335
1200,D0,PASSENGER,FALLBACK_EVIDENCE,20,1381,12,12,12,998
1200,D0,PHYSICAL_DIRECTION_HARD,ORIGINAL_REVERSE,42,3235,26,26,26,2196
1200,D0,PHYSICAL_DIRECTION_HARD,M_CAPABILITY_HARD,7,219,3,3,3,335
1200,D0,PHYSICAL_DIRECTION_HARD,FALLBACK_EVIDENCE,20,1381,12,12,12,998
1200,D0,CAPABILITY_HARD,ORIGINAL_REVERSE,42,3235,26,26,26,2196
1200,D0,CAPABILITY_HARD,M_CAPABILITY_HARD,7,219,3,3,3,335
1200,D0,CAPABILITY_HARD,FALLBACK_EVIDENCE,20,1381,12,12,12,998
1200,D0,STRUCTURAL_ROUTE,ORIGINAL_REVERSE,42,1381,12,12,12,2196
1200,D0,STRUCTURAL_ROUTE,M_CAPABILITY_HARD,7,0,0,0,0,335
1200,D0,STRUCTURAL_ROUTE,FALLBACK_EVIDENCE,20,1381,12,12,12,998
1200,D0,PRE_TOPK_EVIDENCE,ORIGINAL_REVERSE,42,0,0,0,0,2196
